month_year,Dev who merged 1 commit,Dev who merged 10 or more commits,Dev who merged between 2 and 9 commits,Dev who was inactive,active_dev_ratio,network
2017-01-31,1.0,2.0,0.0,1.0,75.0,arbitrum
2017-02-28,0.0,0.0,0.0,4.0,0.0,arbitrum
2017-03-31,0.0,0.0,0.0,4.0,0.0,arbitrum
2017-04-30,0.0,0.0,1.0,3.0,25.0,arbitrum
2017-05-31,0.0,0.0,0.0,4.0,0.0,arbitrum
2017-06-30,0.0,0.0,0.0,4.0,0.0,arbitrum
2017-07-31,0.0,0.0,0.0,4.0,0.0,arbitrum
2017-08-31,0.0,0.0,0.0,4.0,0.0,arbitrum
2017-09-30,0.0,0.0,0.0,4.0,0.0,arbitrum
2017-10-31,0.0,0.0,0.0,104.0,0.0,arbitrum
2017-11-30,0.0,1.0,1.0,102.0,1.9230769230769231,arbitrum
2017-12-31,2.0,1.0,2.0,100.0,4.761904761904762,arbitrum
2018-01-31,0.0,3.0,1.0,101.0,3.8095238095238093,arbitrum
2018-02-28,0.0,0.0,1.0,104.0,0.9523809523809523,arbitrum
2018-03-31,0.0,0.0,1.0,104.0,0.9523809523809523,arbitrum
2018-04-30,0.0,0.0,2.0,103.0,1.9047619047619047,arbitrum
2018-05-31,0.0,0.0,2.0,103.0,1.9047619047619047,arbitrum
2018-06-30,1.0,1.0,0.0,103.0,1.9047619047619047,arbitrum
2018-07-31,1.0,1.0,0.0,103.0,1.9047619047619047,arbitrum
2018-08-31,0.0,1.0,0.0,104.0,0.9523809523809523,arbitrum
2018-09-30,0.0,1.0,1.0,110.0,1.7857142857142858,arbitrum
2018-10-31,3.0,4.0,2.0,108.0,7.6923076923076925,arbitrum
2018-11-30,1.0,0.0,5.0,111.0,5.128205128205129,arbitrum
2018-12-31,3.0,2.0,6.0,106.0,9.401709401709402,arbitrum
2019-01-31,5.0,2.0,8.0,102.0,12.820512820512821,arbitrum
2019-02-28,2.0,5.0,4.0,157.0,6.5476190476190474,arbitrum
2019-03-31,1.0,4.0,5.0,158.0,5.9523809523809526,arbitrum
2019-04-30,1.0,2.0,6.0,159.0,5.357142857142857,arbitrum
2019-05-31,2.0,6.0,1.0,160.0,5.325443786982248,arbitrum
2019-06-30,1.0,5.0,4.0,159.0,5.9171597633136095,arbitrum
2019-07-31,4.0,6.0,3.0,156.0,7.6923076923076925,arbitrum
2019-08-31,2.0,2.0,6.0,159.0,5.9171597633136095,arbitrum
