month_year,Dev who merged 1 commit,Dev who merged 10 or more commits,Dev who merged between 2 and 9 commits,Dev who was inactive,active_dev_ratio,network
2015-03-31,0.0,0.0,1.0,11.0,8.333333333333334,starknet
2015-04-30,0.0,0.0,0.0,12.0,0.0,starknet
2015-05-31,0.0,0.0,0.0,12.0,0.0,starknet
2015-06-30,0.0,0.0,0.0,12.0,0.0,starknet
2015-07-31,0.0,0.0,0.0,12.0,0.0,starknet
2015-08-31,0.0,0.0,0.0,12.0,0.0,starknet
2015-09-30,1.0,0.0,0.0,11.0,8.333333333333334,starknet
2015-10-31,1.0,0.0,0.0,11.0,8.333333333333334,starknet
2015-11-30,0.0,0.0,0.0,12.0,0.0,starknet
2015-12-31,0.0,0.0,0.0,12.0,0.0,starknet
2016-01-31,0.0,0.0,1.0,11.0,8.333333333333334,starknet
2016-02-29,0.0,0.0,0.0,12.0,0.0,starknet
2016-03-31,1.0,0.0,0.0,11.0,8.333333333333334,starknet
2016-04-30,0.0,0.0,0.0,12.0,0.0,starknet
2016-05-31,1.0,0.0,0.0,11.0,8.333333333333334,starknet
2016-06-30,1.0,0.0,0.0,11.0,8.333333333333334,starknet
2016-07-31,1.0,0.0,1.0,10.0,16.666666666666668,starknet
2016-08-31,0.0,0.0,0.0,12.0,0.0,starknet
2016-09-30,0.0,0.0,0.0,12.0,0.0,starknet
2016-10-31,0.0,0.0,0.0,12.0,0.0,starknet
2016-11-30,0.0,0.0,0.0,12.0,0.0,starknet
2016-12-31,0.0,0.0,0.0,12.0,0.0,starknet
2017-01-31,0.0,0.0,0.0,12.0,0.0,starknet
2017-02-28,1.0,0.0,0.0,11.0,8.333333333333334,starknet
2017-03-31,0.0,0.0,0.0,12.0,0.0,starknet
2017-04-30,0.0,0.0,0.0,12.0,0.0,starknet
2017-05-31,0.0,0.0,0.0,12.0,0.0,starknet
2017-06-30,0.0,0.0,0.0,12.0,0.0,starknet
2017-07-31,0.0,0.0,0.0,12.0,0.0,starknet
2017-08-31,0.0,0.0,0.0,12.0,0.0,starknet
2017-09-30,0.0,0.0,0.0,12.0,0.0,starknet
2017-10-31,0.0,0.0,0.0,12.0,0.0,starknet
2017-11-30,1.0,0.0,0.0,11.0,8.333333333333334,starknet
2017-12-31,0.0,0.0,0.0,12.0,0.0,starknet
2018-01-31,1.0,0.0,0.0,11.0,8.333333333333334,starknet
2018-02-28,0.0,0.0,0.0,12.0,0.0,starknet
2018-03-31,1.0,0.0,0.0,11.0,8.333333333333334,starknet
2018-04-30,0.0,0.0,0.0,12.0,0.0,starknet
2018-05-31,0.0,0.0,1.0,11.0,8.333333333333334,starknet
2018-06-30,0.0,0.0,0.0,12.0,0.0,starknet
2018-07-31,0.0,0.0,0.0,12.0,0.0,starknet
2018-08-31,0.0,0.0,0.0,12.0,0.0,starknet
2018-09-30,1.0,0.0,0.0,11.0,8.333333333333334,starknet
2018-10-31,0.0,0.0,0.0,12.0,0.0,starknet
2018-11-30,0.0,0.0,0.0,12.0,0.0,starknet
2018-12-31,0.0,0.0,0.0,12.0,0.0,starknet
2019-01-31,0.0,0.0,1.0,11.0,8.333333333333334,starknet
2019-02-28,0.0,0.0,1.0,11.0,8.333333333333334,starknet
2019-03-31,0.0,1.0,0.0,11.0,8.333333333333334,starknet
2019-04-30,0.0,0.0,0.0,17.0,0.0,starknet
2019-05-31,1.0,2.0,3.0,12.0,33.333333333333336,starknet
2019-06-30,1.0,0.0,2.0,15.0,16.666666666666668,starknet
2019-07-31,0.0,0.0,1.0,17.0,5.555555555555555,starknet
2019-08-31,2.0,0.0,1.0,63.0,4.545454545454546,starknet
2019-09-30,1.0,0.0,0.0,65.0,1.5151515151515151,starknet
2019-10-31,1.0,0.0,1.0,64.0,3.0303030303030303,starknet
2019-11-30,3.0,0.0,0.0,63.0,4.545454545454546,starknet
2019-12-31,2.0,0.0,0.0,64.0,3.0303030303030303,starknet
2020-01-31,1.0,0.0,2.0,63.0,4.545454545454546,starknet
2020-02-29,0.0,1.0,1.0,64.0,3.0303030303030303,starknet
2020-03-31,1.0,3.0,2.0,68.0,8.108108108108109,starknet
2020-04-30,0.0,3.0,1.0,70.0,5.405405405405405,starknet
2020-05-31,1.0,6.0,2.0,65.0,12.162162162162161,starknet
2020-06-30,0.0,4.0,3.0,67.0,9.45945945945946,starknet
2020-07-31,2.0,3.0,1.0,68.0,8.108108108108109,starknet
2020-08-31,0.0,4.0,1.0,69.0,6.756756756756757,starknet
2020-09-30,1.0,3.0,1.0,72.0,6.4935064935064934,starknet
2020-10-31,0.0,3.0,1.0,85.0,4.49438202247191,starknet
2020-11-30,0.0,3.0,2.0,84.0,5.617977528089888,starknet
2020-12-31,1.0,5.0,0.0,83.0,6.741573033707865,starknet
2021-01-31,2.0,3.0,4.0,126.0,6.666666666666667,starknet
2021-02-28,2.0,4.0,1.0,128.0,5.185185185185185,starknet
2021-03-31,2.0,2.0,4.0,127.0,5.925925925925926,starknet
2021-04-30,4.0,4.0,2.0,125.0,7.407407407407407,starknet
2021-05-31,2.0,3.0,3.0,127.0,5.925925925925926,starknet
2021-06-30,3.0,4.0,5.0,124.0,8.823529411764707,starknet
2021-07-31,3.0,4.0,6.0,123.0,9.558823529411764,starknet
2021-08-31,3.0,4.0,6.0,181.0,6.701030927835052,starknet
2021-09-30,3.0,10.0,9.0,254.0,7.971014492753623,starknet
2021-10-31,7.0,19.0,13.0,302.0,11.436950146627566,starknet
2021-11-30,18.0,30.0,32.0,339.0,19.09307875894988,starknet
2021-12-31,19.0,29.0,35.0,384.0,17.77301927194861,starknet
2022-01-31,23.0,55.0,54.0,435.0,23.280423280423282,starknet
2022-02-28,27.0,45.0,61.0,477.0,21.80327868852459,starknet
2022-03-31,23.0,47.0,68.0,505.0,21.46189735614308,starknet
2022-04-30,33.0,54.0,82.0,556.0,23.310344827586206,starknet
2022-05-31,40.0,78.0,83.0,630.0,24.187725631768952,starknet
2022-06-30,52.0,73.0,111.0,654.0,26.51685393258427,starknet
2022-07-31,55.0,112.0,117.0,669.0,29.800629590766,starknet
2022-08-31,46.0,91.0,93.0,753.0,23.397761953204476,starknet
2022-09-30,48.0,81.0,111.0,780.0,23.529411764705884,starknet
2022-10-31,62.0,98.0,119.0,799.0,25.88126159554731,starknet
2022-11-30,65.0,86.0,139.0,869.0,25.021570319240723,starknet
2022-12-31,62.0,80.0,123.0,931.0,22.157190635451506,starknet
2023-01-31,60.0,115.0,129.0,936.0,24.516129032258064,starknet
2023-02-28,73.0,85.0,125.0,985.0,22.318611987381704,starknet
2023-03-31,65.0,86.0,124.0,1031.0,21.05666156202144,starknet
2023-04-30,79.0,104.0,138.0,1033.0,23.707533234859675,starknet
2023-05-31,70.0,91.0,130.0,1107.0,20.815450643776824,starknet
2023-06-30,89.0,95.0,137.0,1137.0,22.016460905349795,starknet
